gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
POC1B-GALNT4,74.72894893916498,-2.6659446506531324,0.48106809619126895,-5.541719918157228,2.9951510536393565e-08,0.0006225720980094767,POC1B-GALNT4
UPK3BL1,175.43270029232002,1.6699636845448678,0.3621909771190815,4.610726909400108,4.012633832223381e-06,0.03426496016300199,UPK3BL1
ENSG00000285976,190.61784801749945,10.941410916789247,2.3957067149361904,4.567091142072735,4.94539018998393e-06,0.03426496016300199,ENSG00000285976
PTP4A1,1774.3158189004791,-0.9556868494505327,0.21889252310694038,-4.366009564354238,1.2653694125781578e-05,0.052957338146551056,PTP4A1
ENSG00000267645,104.41008475061031,-10.173424260413107,2.330923818722681,-4.364546013343338,1.2738703489500398e-05,0.052957338146551056,ENSG00000267645
ENSG00000285505,70.62736745875888,9.507758077327972,2.415056592429979,3.9368676109413507,8.25521193947786e-05,0.2859880589566447,ENSG00000285505
HMGN2P5,52.071207378559635,-9.197515030376925,2.3811576900437257,-3.8626232394579585,0.00011217594304949443,0.333098450318113,HMGN2P5
ENSG00000257379,42.89252644792691,-8.808576594360648,2.3163178664927324,-3.8028358377679012,0.00014304915160810874,0.3716774581657685,ENSG00000257379
PPAN-P2RY11,53.430074604867904,1.9706766592294567,0.5298253150722181,3.7194837678921453,0.0001996303756740483,0.4610574431956409,PPAN-P2RY11
NPIPA8,236.94218138665565,-1.1641105634242,0.31666584726234026,-3.6761481337133213,0.00023678206350283236,0.4921751971969873,NPIPA8
ENSG00000272679,32.456657443984675,-8.338552955955368,2.3004068094269696,-3.624816672331316,0.0002891665027794583,0.5464195387976201,ENSG00000272679
ENSG00000277067,162.484942106959,-1.2657031757202528,0.3522862169309896,-3.5928262727581965,0.0003271106845627346,0.5666102241100834,ENSG00000277067
NPIPA7,126.19303839360236,1.3669747582726453,0.38913303341532735,3.512872567705279,0.00044329002919973756,0.708786657457365,NPIPA7
ENSG00000288725,30.32483286875969,-8.466203931399104,2.463119885383457,-3.4371871144554906,0.0005877893902205056,0.8726993046516736,ENSG00000288725
ZYX,1252.0606121668682,0.10572988432905506,0.22675543241998306,0.4662727732724321,0.6410202647605181,0.9999363885525464,ZYX
ZYG11B,602.2125614782595,-0.3124657768798242,0.2535548570027118,-1.2323399384792,0.21782212668310208,0.9999363885525464,ZYG11B
ZYG11A,9.480512523757309,-0.14555767815245044,1.1456587518564672,-0.12705151330322703,0.8988996271452301,0.9999363885525464,ZYG11A
ZXDC,548.6618419029655,-0.040991847408957435,0.2294766112522318,-0.17863191889260027,0.8582267299285824,0.9999363885525464,ZXDC
ZXDB,193.47777346776473,-0.21246949646307886,0.3045334385286289,-0.697688560867528,0.48537198351747846,0.9999363885525464,ZXDB
ZXDA,58.927667668459435,-0.10098697798753281,0.48304931679267066,-0.20906142391021615,0.8344002885158391,0.9999363885525464,ZXDA
ZWINT,3124.371044623337,-0.1552034196801871,0.19079609488883237,-0.8134517625773034,0.41595909204482173,0.9999363885525464,ZWINT
